כותרת,פריט
כותרת המקטע — שורות עם אותה כותרת מקובצות יחד,פריט (בולט) אחד לכל שורה
הקדמה,"המשמעת בעלת חשיבות מרבית להבטחת פעילותו התקינה של צה״ל, והיא תנאי הכרחי לביצוע מלא ויעיל של המשימות המוטלות עליו."
הקדמה,חיילי ומפקדי צה״ל יקפידו על הופעה מסודרת ותקנית בכל עת.
הוראות הלבוש לבאים במחנות צה״ל,לא תותר כניסה בלבוש לא הולם למחנות צה״ל או באופן שאינו מכבד את כללי השירות המשותף.
הוראות הלבוש לבאים במחנות צה״ל,חייל יקפיד על כלל הוראות הקבע של הופעה ולבוש בצורה תקנית ומסודרת.
הוראות הלבוש לבאים במחנות צה״ל,"חייל ילבש מדי שירות בכל עת שהוא בתפקיד או במסגרת צבאית, מבין פריטי הלבוש שקיבל מצה״ל ומפורטים בתעודת ציודו האישי (טופס 1004) בלבד, אלא אם נקבע אחרת בפקודות הצבא או לפיהן."
